Date,Year,Month,Time,Sales,logSales,dlogSales,Changepoint,c348,s348,c432,s432,obs106
1996-09-01,1996,9,45,41252,10.627454875,-0.06494448,0,-0.535826795,-0.844327926,-0.929776486,0.3681245527,0
1996-10-01,1996,10,46,43454,10.679458186,0.0520033109,0,0.9987369566,0.0502443182,0.6936533058,-0.720309025,0
1996-11-01,1996,11,47,38484,10.557997849,-0.121460337,0,-0.617859613,0.7862884321,-0.332819545,0.9429905359,0
1996-12-01,1996,12,48,37103,10.521453108,-0.036544742,0,-0.285019262,-0.958521789,-0.087851197,-0.996133609,0
1997-01-01,1997,1,49,38950,10.570034051,0.0485809434,0,0.947098305,0.3209436098,0.4927273415,0.8701837547,0
1997-02-01,1997,2,50,40036,10.597534328,0.027500277,0,-0.809016994,0.5877852523,-0.809016994,-0.587785252,0
1997-03-01,1997,3,51,45967,10.735679027,0.1381446984,0,-0.01256604,-0.999921044,0.9798550524,0.1997099805,0
1997-04-01,1997,4,52,44106,10.694351107,-0.04132792,0,0.8235325976,0.5672689491,-0.974526873,0.2242707609,0
1997-05-01,1997,5,53,45673,10.729262593,0.0349114861,0,-0.938733858,0.3446429232,0.7939903986,-0.607930298,0
1997-06-01,1997,6,54,45196,10.718763866,-0.010498726,0,0.2608415063,-0.965381639,-0.470703932,0.8822912264,0
1997-07-01,1997,7,55,46093,10.738416374,0.0196525073,0,0.6374239897,0.7705132428,0.0627905195,-0.998026728,0
1997-08-01,1997,8,56,46085,10.738242796,-0.000173577,0,-0.9971589,0.0753268055,0.3564118787,0.9343289425,0
1997-09-01,1997,9,57,43626,10.683408582,-0.054834215,0,0.5144395338,-0.857526656,-0.711535677,-0.70264997,0
1997-10-01,1997,10,58,44122,10.694713803,0.0113052214,0,0.4029064357,0.9152411726,0.9387338577,0.3446429232,0
1997-11-01,1997,11,59,38649,10.56227618,-0.132437623,0,-0.979855052,-0.199709981,-0.9971589,0.0753268055,0
1997-12-01,1997,12,60,40469,10.608291528,0.0460153474,0,0.7289686274,-0.684547106,0.87630668,-0.481753674,0
1998-01-01,1998,1,61,39690,10.588854546,-0.019436982,0,0.1377902907,0.9904614257,-0.597904983,0.8015669849,0
1998-02-01,1998,2,62,39936,10.595033452,0.006178906,0,-0.888136449,-0.459579861,0.2120071099,-0.977268124,0
1998-03-01,1998,3,63,47249,10.763186769,0.1681533169,0,0.8881364488,-0.459579861,0.2120071099,0.9772681236,0
1998-04-01,1998,4,64,47084,10.75968852,-0.003498249,0,-0.137790291,0.9904614257,-0.597904983,-0.801566985,0
1998-05-01,1998,5,65,48972,10.799003985,0.0393154657,0,-0.728968627,-0.684547106,0.87630668,0.4817536741,0
1998-06-01,1998,6,66,51217,10.843826787,0.044822802,0,0.9798550524,-0.199709981,-0.9971589,-0.075326806,0
1998-07-01,1998,7,67,46220,10.741167884,-0.102658903,0,-0.402906436,0.9152411726,0.9387338577,-0.344642923,0
1998-08-01,1998,8,68,44965,10.713639688,-0.027528195,0,-0.514439534,-0.857526656,-0.711535677,0.7026499698,0
1998-09-01,1998,9,69,44560,10.704591875,-0.009047814,0,0.9971589003,0.0753268055,0.3564118787,-0.934328942,0
1998-10-01,1998,10,70,46742,10.752398397,0.0478065225,0,-0.63742399,0.7705132428,0.0627905195,0.9980267284,0
1998-11-01,1998,11,71,41949,10.644209874,-0.108188523,0,-0.260841506,-0.965381639,-0.470703932,-0.882291226,0
1998-12-01,1998,12,72,43975,10.69137657,0.0471666959,0,0.9387338577,0.3446429232,0.7939903986,0.6079302977,0
1999-01-01,1999,1,73,42042,10.646424398,-0.044952172,0,-0.823532598,0.5672689491,-0.974526873,-0.224270761,0
1999-02-01,1999,2,74,45230,10.719515862,0.0730914649,0,0.0125660399,-0.999921044,0.9798550524,-0.199709981,0
1999-03-01,1999,3,75,53840,10.893771964,0.1742561018,0,0.8090169944,0.5877852523,-0.809016994,0.5877852523,0
1999-04-01,1999,4,76,50680,10.833286634,-0.06048533,0,-0.947098305,0.3209436098,0.4927273415,-0.870183755,0
1999-05-01,1999,5,77,53277,10.883259997,0.0499733629,0,0.2850192625,-0.958521789,-0.087851197,0.9961336091,0
1999-06-01,1999,6,78,54565,10.907147931,0.0238879332,0,0.6178596131,0.7862884321,-0.332819545,-0.942990536,0
1999-07-01,1999,7,79,54023,10.897165161,-0.00998277,0,-0.998736957,0.0502443182,0.6936533058,0.7203090249,0
1999-08-01,1999,8,80,55555,10.9251288,0.0279636392,0,0.535826795,-0.844327926,-0.929776486,-0.368124553,0
1999-09-01,1999,9,81,51570,10.850695387,-0.074433413,0,0.3797790955,0.9250772068,0.9987369566,-0.050244318,0
